,tr,Sentence,tr,index,tr_shift,prev_tr,story_section,n_tokens,lemma,pos,tag,dep_rel,dep_head
71,71,Oh God. What is his,71,B1.7,1.0,70.0,B1,2225,"['oh', 'God', '.', 'what', 'be', '-PRON-']","['INTJ', 'PROPN', 'PUNCT', 'PRON', 'AUX', 'DET']","['UH', 'NNP', '.', 'WP', 'VBZ', 'PRP$']","['intj', 'ROOT', 'punct', 'attr', 'aux', 'poss']","['God', 'God', 'God', 'is', 'getting', 'daughter']"
72,72,daughter getting into again?,72,B1.7,1.0,71.0,B1,2225,"['daughter', 'get', 'into', 'again', '?']","['NOUN', 'VERB', 'ADP', 'ADV', 'PUNCT']","['NN', 'VBG', 'IN', 'RB', '.']","['nsubj', 'ROOT', 'prep', 'advmod', 'punct']","['getting', 'getting', 'getting', 'getting', 'getting']"
73,73,"""We don't want a",73,B1.8,1.0,72.0,B1,2225,"['""', '-PRON-', 'do', 'not', 'want', 'a']","['PUNCT', 'PRON', 'AUX', 'PART', 'VERB', 'DET']","['``', 'PRP', 'VBP', 'RB', 'VB', 'DT']","['punct', 'nsubj', 'aux', 'neg', 'ROOT', 'det']","['want', 'want', 'want', 'want', 'want', 'repeat']"
74,74,"repeat of last year…""",74,B1.8,1.0,73.0,B1,2225,"['repeat', 'of', 'last', 'year', '…', '""']","['NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']","['NN', 'IN', 'JJ', 'NN', 'NFP', ""''""]","['dobj', 'prep', 'amod', 'pobj', 'punct', 'punct']","['want', 'repeat', 'year', 'of', 'want', 'want']"
75,75,There is an edge,75,B1.9,1.0,74.0,B1,2225,"['there', 'be', 'an', 'edge']","['PRON', 'AUX', 'DET', 'NOUN']","['EX', 'VBZ', 'DT', 'NN']","['expl', 'ccomp', 'det', 'attr']","['is', 'grow', 'edge', 'is']"
76,76,"in Margaret's voice: ""This",76,B1.9,1.0,75.0,B1,2225,"['in', 'Margaret', ""'s"", 'voice', ':', '""', 'this']","['ADP', 'PROPN', 'PART', 'NOUN', 'PUNCT', 'PUNCT', 'DET']","['IN', 'NNP', 'POS', 'NN', ':', '``', 'DT']","['prep', 'poss', 'case', 'pobj', 'punct', 'punct', 'det']","['edge', 'voice', 'Margaret', 'in', 'grow', 'grow', 'girl']"
77,77,"girl better grow up…""",77,B1.9,1.0,76.0,B1,2225,"['girl', 'better', 'grow', 'up', '…', '""']","['NOUN', 'ADV', 'VERB', 'ADP', 'PUNCT', 'PUNCT']","['NN', 'RB', 'VB', 'RP', 'NFP', ""''""]","['nsubj', 'advmod', 'ROOT', 'prt', 'punct', 'punct']","['grow', 'grow', 'grow', 'grow', 'grow', 'grow']"
78,78,She sounds cold,78,B1.10,1.0,77.0,B1,2225,"['-PRON-', 'sound', 'cold']","['PRON', 'VERB', 'ADJ']","['PRP', 'VBZ', 'JJ']","['nsubj', 'ROOT', 'acomp']","['sounds', 'sounds', 'sounds']"
79,79,and he notices.,79,B1.10,1.0,78.0,B1,2225,"['and', '-PRON-', 'notice', '.']","['CCONJ', 'PRON', 'VERB', 'PUNCT']","['CC', 'PRP', 'VBZ', '.']","['cc', 'nsubj', 'conj', 'punct']","['sounds', 'notices', 'sounds', 'notices']"
80,80,Margaret pauses by the mirror,80,B1.11,1.0,79.0,B1,2225,"['Margaret', 'pause', 'by', 'the', 'mirror']","['PROPN', 'VERB', 'ADP', 'DET', 'NOUN']","['NNP', 'VBZ', 'IN', 'DT', 'NN']","['nsubj', 'ROOT', 'prep', 'det', 'pobj']","['pauses', 'pauses', 'pauses', 'mirror', 'by']"
81,81,then touches her neck.,81,B1.11,1.0,80.0,B1,2225,"['then', 'touch', '-PRON-', 'neck', '.']","['ADV', 'VERB', 'DET', 'NOUN', 'PUNCT']","['RB', 'VBZ', 'PRP$', 'NN', '.']","['advmod', 'dep', 'poss', 'dobj', 'punct']","['touches', 'pauses', 'neck', 'touches', 'pauses']"
