Okay,okay,0.34,0.49
got,got,266.559999,266.849999
and,and,266.88,267.28
uh,uh,268.119999,268.77999900000003
so,so,268.82,269.21999999999997
what,what,269.26,269.39
happened,happened,269.389999,269.739999
was,was,269.74,269.99
Merlin’s,<unk>,270.02,270.03
mother,mother,271.36999999999995,271.71
sent,sent,271.88,272.14
him,him,272.14,272.40999999999997
there,there,272.41,272.78000000000003
so,so,273.2,273.34999999999997
that,that,273.35,273.49
he,he,273.49,273.64
could,could,273.64,273.82
get,get,273.82,274.0
some,some,274.01,274.17
protection,protection,274.31,274.98
or,or,274.98,275.13
kind,kind,275.13,275.31
of,of,275.31,275.52
training,training,275.92,276.40000000000003
or,or,276.4,276.40999999999997
guidance,guidance,276.57,277.03
guidance,guidance,277.25,277.59
while,while,282.059999,282.519999
he,he,282.53,283.08
um,um,283.11,283.53000000000003
because,because,283.87,284.17
of,of,284.17,284.36
his,his,284.36,284.64
magic,magic,285.259999,285.65999899999997
powers,powers,285.66,286.11
or,or,286.109999,286.169999
gifts,gifts,286.17,286.43
as,as,286.48,286.6
she,she,286.6,286.74
calls,calls,286.74,287.0
them,them,287.01,287.2
Um,um,287.83,288.26
so,so,288.89,288.90999999999997
then,then,288.90999999999997,288.94
the,the,289.11,289.21000000000004
next,next,289.21,289.52
morning,morning,289.52,290.09
uh,uh,290.55,291.06
so,so,292.61,292.73
he,he,292.73,293.17
yeah,yeah,293.7,294.03999999999996
so,so,294.04,294.20000000000005
Merlin,merlin,294.2,294.59999999999997
goes,goes,295.16,295.57000000000005
like,like,295.61,295.85
eats,eats,295.87,296.1
breakfast,breakfast,296.099999,296.609999
Um,um,296.75,297.39
uh,uh,299.2,299.53
the,the,299.559999,299.679999
guy,guy,299.679999,300.169999
kind,kind,300.24,300.44
of,of,300.44,300.54
like,like,300.54,300.73
on,on,300.809999,300.939999
purpose,purpose,300.94,301.3
knocks,knocks,301.32,301.62
over,over,301.62,302.1
a,a,302.389999,302.72999899999996
pail,pail,302.79,303.14000000000004
of,of,303.139999,303.269999
water,water,303.27,303.76
and,and,303.77,304.01
sees,sees,304.18,304.52
Merlin,merlin,304.52,304.84999999999997
again,again,304.85,305.27000000000004
like,like,305.559999,305.899999
just,just,305.91,305.99
instinctively,instinctively,306.0,306.95
like,like,307.79,307.99
stop,stop,308.0,308.29
it,it,308.29,308.38
from,from,308.38,308.40999999999997
